Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFW,SL.UEM.TOTL.FE.ZS,4.984939581,4.94565463,4.881623336,4.874087434,4.881777593,4.884177234,4.79798164,4.778931169,4.793369842,4.820314669,4.835661798,4.798312521,4.858016148,4.589034871,5.196423309,5.139524595,6.187513156,6.54440199,6.169724906,5.80486466,6.49166982,6.667652343
AFW,SL.UEM.TOTL.MA.ZS,4.866904613,4.797711203,4.696054633,4.646901548,4.604214393,4.59521976,4.522985307,4.499756482,4.435958604,4.383340811,4.31812201,4.337929064,4.452902064,4.260623862,4.265059603,4.201024802,5.05540723,5.589401112,5.936526541,6.273447361,7.003527536,6.976800935
AFW,SP.URB.TOTL.IN.ZS,35.35298133,35.95324816,36.55797662,37.17443633,37.79981878,38.43139227,39.07079047,39.7088247,40.34596002,40.98431673,41.62587945,42.26466339,42.90103543,43.53070432,44.15713096,44.781373,45.40180911,46.01933354,46.63313828,47.24285288,47.84862544,48.44990189
ARB,IC.BUS.DISC.XQ,,,,,,4.545454545,4.545454545,4.545454545,4.636363636,4.818181818,4.909090909,4.909090909,5.045454545,5.136363636,5.5,5.590909091,5.681818182,5.863636364,6.045454545,6.045454545,,
ARB,IC.CRD.INFO.XQ,,,,,,,,,,,,,,3.380952381,3.476190476,3.545454545,3.772727273,4.136363636,4.272727273,4.545454545,,
ARB,FS.AST.PRVT.GD.ZS,29.71061073,31.79714272,32.31340444,31.41753468,30.42001453,30.59470166,29.88940261,31.65508178,31.62005022,36.64455707,36.23319045,35.16439855,34.76600224,36.84740024,40.12467027,48.77330758,56.79916709,54.42468043,,,,
ARB,EG.USE.ELEC.KH.PC,1518.760327,1581.590402,1650.068165,1720.814261,1767.785668,1842.769081,1943.067343,1998.315203,2065.102645,2123.652249,2301.342047,2337.7279,2377.250571,2433.627913,2508.462284,,,,,,,
ARB,EG.IMP.CONS.ZS,-296.4366459,-267.7941443,-238.0980056,-256.8616511,-258.6186063,-255.4225843,-238.9090897,-224.6767701,-214.9928961,-182.7985468,-178.6095658,-186.0960752,-180.6380249,-178.4992911,-164.5392047,,,,,,,
ARB,GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,23.18802841,23.99575334,,,,,,
ARB,IT.NET.BBND.P2,,,,,0.146410109,0.308235376,0.493235367,0.873787503,1.275191296,1.96522045,2.101043191,2.675679196,3.038053591,2.803616615,3.346018341,5.105082392,5.545879064,6.960329133,7.682517025,7.74041987,8.922365422,
ARB,IT.MLT.MAIN.P2,6.871258514,7.383198035,8.099376658,8.637484314,9.034893164,9.272141476,9.46804526,9.903084956,10.06407494,9.728260628,9.863388653,9.617501314,9.374369585,8.679816828,7.417916997,7.600145664,7.855008276,8.391702447,8.471974538,8.675822576,8.946909099,
ARB,NY.GDP.MKTP.KD.ZG,6.540221275,1.712248307,0.681534101,4.870690023,8.854427223,5.520446063,6.080681139,4.572705319,5.561259916,0.414944587,4.753177418,3.243588345,5.074696991,2.564217188,2.34867918,3.052633634,3.175146768,1.242607981,2.363881228,1.586319316,-5.051382598,3.530294057
ARB,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,
ARB,SE.XPD.TOTL.GD.ZS,,,,,4.6707201,,4.001780033,,4.22755003,3.589999914,,,,3.976920128,,,4.710000038,4.919927835,,3.427919984,,
ARB,TX.VAL.TECH.MF.ZS,,,,,,,,,1.823131953,,,,1.815801992,1.829318183,3.872473223,2.957056237,1.872765646,1.760359663,2.127658686,2.013900323,3.874708213,
ARB,FP.CPI.TOTL.ZG,1.853790353,1.772204374,1.83299389,2.712592475,3.63228005,3.493685346,3.544985916,4.74390639,11.27066524,2.920897118,3.911061955,4.753163889,4.611844322,3.238108339,2.773516131,1.814077239,2.068840361,1.966825578,2.45814158,1.091848027,1.777407838,3.243459683
ARB,FR.INR.LNDP,4.830833333,4.5,5.4935,5.308333333,5.668833333,4.847083333,4.295416667,4.37192134,5.370833333,5.63362926,5.331666667,5.159166667,4.975416667,4.7425,4.791666667,4.847083333,5.135016476,,,,,
ARB,SL.TLF.CACT.FE.ZS,20.34661697,20.25419299,19.57809866,19.81897993,20.02793265,20.25745903,20.55543101,21.06358591,20.75595212,20.85426381,20.98622949,20.99657229,21.14949436,21.43816402,21.50111314,21.64098536,21.84675976,21.19735695,20.33558692,20.0742625,19.63197289,19.68605252
ARB,SL.TLF.CACT.MA.ZS,73.43306723,72.3886159,71.62869888,71.69422441,71.80230298,71.95021306,72.13941444,71.9720491,72.06423331,71.85396,72.67942166,72.3626304,72.53045046,72.57889783,72.04978339,71.54617984,71.31489198,70.76847852,70.82339198,71.05031968,69.31544044,69.59287647
ARB,LP.LPI.OVRL.XQ,,,,,,,,2.627368421,,,2.701578947,,2.7075,,2.6422202,,2.7123212,,2.678095238,,,
ARB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,35.32618893,35.02303032,46.0426391,48.54836948,49.74805021,49.77913837,50.46480085,47.9512518,139.7280584,156.7421766,
ARB,MS.MIL.XPND.GD.ZS,6.331742306,6.313711345,5.835110465,5.517387168,5.114257522,4.662873768,4.377627184,4.496758642,4.117715574,5.159116939,4.928924385,4.91922217,5.024738682,5.781257331,6.417261995,7.424917575,6.097516464,6.342684305,6.087332791,5.365259776,5.706540287,
ARB,IT.CEL.SETS.P2,3.128054337,5.650420528,8.378907927,11.39056777,16.53201764,26.29034195,38.09822498,51.49150472,61.61889079,74.50589449,87.91762277,96.84512606,102.6749138,107.3038641,106.9236201,105.7348817,103.1907993,101.0307466,99.48647313,98.51580398,97.10580962,
ARB,GC.NLD.TOTL.GD.ZS,,,,,,,,,,,,,,,-3.995987601,-8.754599179,,,,,,
ARB,EN.URB.LCTY.UR.ZS,30.62537839,30.56862493,30.57911598,30.5147044,30.26175002,30.02630771,29.79885221,29.40240235,29.34252049,29.29602047,29.21188642,28.7646168,28.70356249,28.6700492,28.67024381,28.71324876,28.80244817,28.89552868,29.01094187,28.96178265,28.90688617,28.84461971
ARB,GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,0.559007091,,,,,,,,,0.722333434,
ARB,IC.LGL.CRED.XQ,,,,,,,,,,,,,,1.476190476,1.476190476,1.409090909,1.409090909,1.772727273,2.363636364,3.090909091,,
ARB,GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,5.350758603,5.535846947,,,,,,
ARB,IC.REG.DURS.FE,,,,47.96153846,42.65625,40.08333333,38.86111111,32.575,22.675,22.025,22.05,21.5,22.23809524,21,20,22.56818182,23.68181818,21.93181818,21.04545455,20,,
ARB,IC.REG.DURS.MA,,,,47.26923077,41.90625,39.41666667,38.19444444,31.875,21.975,21.325,21.35,20.8,21.57142857,20.33333333,19.33333333,21.93181818,23.04545455,21.29545455,20.40909091,19.40909091,,
ARB,IC.GOV.DURS.ZS,,,,,,,,,,,,,,,,,,,,,4.954545455,
ARB,IC.TAX.TOTL.CP.ZS,,,,,,58.34444444,48.95555556,45.22,44.21,44.045,43.11,42.295,41.87619048,41.52380952,42.57619048,42.5952381,42.16666667,42.5047619,42.74761905,42.51428571,,
ARB,SE.PRM.TCAQ.ZS,,,,,,93.73432159,92.14633942,90.60225677,90.23090363,91.23420715,91.27358246,88.74897766,84.03897858,82.5371933,84.89048004,84.47678375,84.11299896,84.76555634,85.27108002,83.89295197,83.366539,
ARB,SL.UEM.TOTL.FE.ZS,17.88145654,17.75743576,18.24141538,18.10325055,17.90564693,17.91560606,17.23492958,16.15455714,16.21727689,17.76713321,18.34736003,19.35186777,19.80197105,19.79028879,19.95323382,20.32482539,20.30802974,20.60997264,20.20879706,20.0635298,21.96348471,22.68251064
ARB,SL.UEM.TOTL.MA.ZS,11.18547676,11.04775007,10.95197466,10.88248234,9.613246719,9.402673856,8.59661851,8.3462293,7.981570156,7.05717567,7.012561903,8.099737333,8.205416193,8.268895116,8.373622551,8.356699054,8.068522921,8.221733161,7.943481226,7.399330081,8.766431299,8.754929842
ARB,SP.URB.TOTL.IN.ZS,52.98930169,53.25144416,53.51562569,53.80116724,54.10558232,54.47030631,54.86573621,55.14907974,55.57907435,56.0097688,56.44088052,56.79189573,57.09839627,57.40073405,57.69232547,58.03146615,58.34562698,58.64232235,58.92659505,59.20164596,59.47176561,59.73791362
CSS,IC.BUS.DISC.XQ,,,,,,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.461538462,3.538461538,,
CSS,IC.CRD.INFO.XQ,,,,,,,,,,,,,,0.461538462,0.923076923,1,1.615384615,1.615384615,1.692307692,1.692307692,,
CSS,FS.AST.PRVT.GD.ZS,37.39673408,39.71904296,39.9208843,39.2302926,39.76229504,39.44258614,39.91145015,41.0639968,39.57640183,45.57352057,39.37970578,37.81448166,41.0254477,40.8262128,40.86674661,42.63287488,44.23111574,43.72325971,43.86025075,45.52079146,48.97730254,
